userid;tipo_atividade;nome_atividade;data_prazo_final;dias_em_atraso
6551;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6237;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
4870;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6636;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6505;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6682;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6550;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6922;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6396;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
4941;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6918;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6428;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
4894;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6347;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6433;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
4883;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6723;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6497;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
7150;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6624;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
6304;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
5663;Questionário (Quiz);Avaliação de familiarização com o AVA (A0);2022-08-05 12:00:00-03;1414
