"cmid";"tipo_modulo";"secao_topico";"nome_atividade"
"24470";"forum";"Início";"Avisos"
"24473";"page";"Informações básicas";"Turmas, professores e horários"
"24474";"page";"Informações básicas";"Livro-texto e Programa"
"24475";"page";"Informações básicas";"Cronograma detalhado"
"24476";"page";"Informações básicas";"Critérios de avaliação"
"24477";"page";"Informações básicas";"Quantas faltas eu posso ter?"
"24478";"resource";"Informações básicas";"Horários e locais de monitoria"
"24479";"quiz";"Questionários";"Habilidades em matemática básica"
"24480";"page";"Questionários";"Questionário de início de semestre"
"24482";"page";"Questionários";"Questionário sobre aulas invertidas"
"24481";"label";"Testes Pré-Aula (TPA's)";"[Módulo não mapeado na query]"
"24483";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.9"
"24484";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.8"
"24485";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.7"
"24486";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.6"
"24487";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.5"
"24488";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.4"
"24489";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.3"
"24490";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.2"
"24491";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 3.1"
"24492";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.7"
"24493";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.6"
"24494";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.5"
"24495";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.6"
"24496";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.5"
"24498";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.4"
"24499";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.3"
"24500";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.2"
"24501";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 2.1"
"24502";"label";"Testes Pré-Aula (TPA's)";"[Módulo não mapeado na query]"
"24503";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 1.7"
"24504";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 1.6"
"24505";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 1.5"
"24506";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 1.4"
"24507";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 1.3"
"24508";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 1.2"
"24509";"quiz";"Testes Pré-Aula (TPA's)";"Teste Pré-Aula 1.1"
"25408";"label";"Testes Pré-Aula (TPA's)";"[Módulo não mapeado na query]"
"24510";"resource";"Provas e gabaritos deste semestre";"Gabarito do Primeiro Exercício Escolar 2026.1"
"24511";"resource";"Provas e gabaritos deste semestre";"Gabarito do Segundo Exercício Escolar 2026.1"
"24512";"resource";"Provas e gabaritos deste semestre";"Gabarito da 2ª Chamada 2025.2"
"24513";"resource";"Provas e gabaritos deste semestre";"Gabarito da Prova Final 2025.2"
"24514";"resource";"Provas e gabaritos deste semestre";"Gabarito do Segundo Exercício Escolar 2024.1"
"24515";"resource";"Provas e gabaritos deste semestre";"Gabarito do Exame Final 2024.1"
"24516";"resource";"Provas e gabaritos deste semestre";"Gabarito do Primeiro Exercício Escolar 2023.2"
"24517";"resource";"Provas e gabaritos deste semestre";"Gabarito do Segundo Exercício Escolar 2023.2"
"24518";"resource";"Provas e gabaritos deste semestre";"Gabarito Exame Final 2023.2"
"24519";"resource";"Provas e gabaritos deste semestre";"Gabarito do Terceiro Exercício Escolar 2023.1"
"24520";"resource";"Provas e gabaritos deste semestre";"Gabarito do Exame Final 2023.1"
"24521";"quiz";"Provas de Recuperação";"Prova de Recuperação da Primeira Unidade"
"24522";"quiz";"Provas de Recuperação";"Prova de Recuperação da Segunda Unidade"
"24523";"quiz";"Provas de Recuperação";"Prova de Recuperação da Terceira Unidade"
"24524";"label";"Metodologia de Aulas Invertidas";"[Módulo não mapeado na query]"
"24525";"resource";"Material de estudos para as aulas";"Programa detalhado de estudos"
"24526";"label";"Material de estudos para as aulas";"[Módulo não mapeado na query]"
"24527";"page";"Material de estudos para as aulas";"Revisão de Trigonometria T1 - Elementos de Geometria"
"24528";"page";"Material de estudos para as aulas";"Revisão de Trigonometria T2 - Funções Trigonométricas e Vetores"
"24529";"page";"Material de estudos para as aulas";"Revisão de Trigonometria T3 - Gráficos e funções trigonométricas inversas"
"24530";"page";"Material de estudos para as aulas";"Aula 1.0 - Introdução"
"24531";"page";"Material de estudos para as aulas";"Aula 1.1 - Unidades, notação científica e cinemática unidimensional"
"24532";"page";"Material de estudos para as aulas";"Aula 1.2 - Cinemática unidimensional (velocidade e aceleração instantâneas)"
"24533";"page";"Material de estudos para as aulas";"Aula 1.3 - Vetores e cinemática bidimensional"
"24534";"page";"Material de estudos para as aulas";"Aula 1.4 - Movimento de projéteis, MCU, movimento relativo"
"24535";"page";"Material de estudos para as aulas";"Aula 1.5 - As leis de Newton"
"24536";"page";"Material de estudos para as aulas";"Aula 1.6 - Atrito seco, atrito hidrodinâmico"
"24537";"page";"Material de estudos para as aulas";"Aula 1.7 - Dinâmica do MCU"
"24538";"label";"Material de estudos para as aulas";"[Módulo não mapeado na query]"
"24539";"page";"Material de estudos para as aulas";"Aula 2.1 - Trabalho"
"24540";"page";"Material de estudos para as aulas";"Aula 2.2 - O Teorema Trabalho-Energia Cinética, Potência"
"24541";"page";"Material de estudos para as aulas";"Aula 2.3 - Forças conservativas e energia potencial"
"24542";"page";"Material de estudos para as aulas";"Aula 2.4 - Conservação de energia mecânica"
"24543";"page";"Material de estudos para as aulas";"Aula 2.5 - Centro de massa"
"24544";"page";"Material de estudos para as aulas";"Aula 2.6 - Momento linear e impulso"
"24545";"page";"Material de estudos para as aulas";"Aula 2.7 - Colisões e sistemas de massa variável"
"24546";"page";"Material de estudos para as aulas";"Aula 2.5 - Centro de massa e momento linear (ñ original)"
"24547";"page";"Material de estudos para as aulas";"Aula 2.6 - Impulso, colisões e sistemas de massa variável (ñ original)"
"24548";"label";"Material de estudos para as aulas";"[Módulo não mapeado na query]"
"24549";"page";"Material de estudos para as aulas";"Aula 3.1 - Cinemática da rotação"
"24550";"page";"Material de estudos para as aulas";"Aula 3.2 - Energia cinética de rotação e momento de inércia"
"24551";"page";"Material de estudos para as aulas";"Aula 3.3 - Torque e a segunda lei de Newton para a rotação"
"24552";"page";"Material de estudos para as aulas";"Aula 3.4 - Teorema Trabalho-Energia Cinética para a rotação"
"24553";"page";"Material de estudos para as aulas";"Aula 3.5 - Rolamento: cinemática e energia cinética"
"24554";"page";"Material de estudos para as aulas";"Aula 3.6 - Rolamento: forças"
"24555";"page";"Material de estudos para as aulas";"Aula 3.7 - Momento angular de uma partícula e de um sistema de partículas"
"24556";"page";"Material de estudos para as aulas";"Aula 3.8 - Conservação de momento angular"
"24557";"page";"Material de estudos para as aulas";"Aula 3.9 - Momento angular de corpos rígidos, precessão e a curva da bicicleta"
"24558";"page";"Recursos adicionais (Academia Khan, provas anteriores)";"Academia Khan"
"24559";"label";"Recursos adicionais (Academia Khan, provas anteriores)";"[Módulo não mapeado na query]"
"24560";"folder";"Recursos adicionais (Academia Khan, provas anteriores)";"EE1"
"24561";"folder";"Recursos adicionais (Academia Khan, provas anteriores)";"EE2"
"24562";"folder";"Recursos adicionais (Academia Khan, provas anteriores)";"EE3"
"24563";"folder";"Recursos adicionais (Academia Khan, provas anteriores)";"Segunda Chamada"
"24564";"folder";"Recursos adicionais (Academia Khan, provas anteriores)";"Exame Final"
"24565";"quiz";"Avaliações";"Avaliação de familiarização com o AVA (A0)"
"24566";"label";"Avaliações";"[Módulo não mapeado na query]"
"24567";"quiz";"Avaliações";"Primeira avaliação continuada (AC1)"
"24568";"quiz";"Avaliações";"Primeira avaliação continuada (AC1) (copiado)"
"24569";"quiz";"Avaliações";"Primeira avaliação continuada (AC1) adaptada"
"24570";"quiz";"Avaliações";"Segunda avaliação continuada (AC2)"
"24571";"quiz";"Avaliações";"Segunda avaliação continuada (AC2) adaptada"
"24572";"quiz";"Avaliações";"Terceira avaliação continuada (AC3)"
"24573";"quiz";"Avaliações";"Terceira avaliação continuada (AC3) adaptada"
"24574";"label";"Avaliações";"[Módulo não mapeado na query]"
"24575";"quiz";"Avaliações";"Quarta avaliação continuada (AC4)"
"24576";"quiz";"Avaliações";"Quarta avaliação continuada (AC4) adaptada"
"24577";"quiz";"Avaliações";"Quinta avaliação continuada (AC5)"
"24578";"quiz";"Avaliações";"Quinta avaliação continuada (AC5) adaptada"
